full_name,pdes,a,e,i,om,w,primary_type,detail_type1,detail_type2
   267 Tirza (A887 KB),267,2.776,0.1009,6.01,73.6,197.14,Asteroid,FEO,Main-belt
   268 Adorea (A887 LA),268,3.094,0.1367,2.44,120.85,68.32,Asteroid,FEO,Main-belt
   269 Justitia (A887 SA),269,2.617,0.2132,5.48,156.71,119.85,Asteroid,FEO,Main-belt
   270 Anahita (A887 TA),270,2.199,0.15,2.37,254.3,80.62,Asteroid,FEO,Main-belt
   271 Penthesilea (A887 TB),271,3.008,0.105,3.54,335.34,56.76,Asteroid,FEO,Main-belt
   272 Antonia (A888 CA),272,2.778,0.029,4.43,37.3,68.85,Asteroid,FEO,Main-belt
   273 Atropos (A888 EA),273,2.395,0.1599,20.45,158.91,121.29,Asteroid,FEO,Main-belt
   274 Philagoria (A888 GA),274,3.048,0.1182,3.68,92.74,120.73,Asteroid,FEO,Main-belt
   275 Sapientia (A888 GB),275,2.77,0.1633,4.76,134.04,39.34,Asteroid,FEO,Main-belt
   276 Adelheid (A888 HA),276,3.124,0.0633,21.66,210.98,264.79,Asteroid,FEO,Main-belt
   277 Elvira (A888 JA),277,2.886,0.0926,1.17,230.99,135.88,Asteroid,FEO,Main-belt
   278 Paulina (A888 KA),278,2.757,0.1335,7.83,61.69,141.53,Asteroid,FEO,Main-belt
   280 Philia (A888 UB),280,2.941,0.1106,7.44,9.85,89.1,Asteroid,FEO,Main-belt
   281 Lucretia (A888 UC),281,2.188,0.1318,5.3,31.34,16.85,Asteroid,FEO,Main-belt
   282 Clorinde (A889 BA),282,2.338,0.0815,9.04,144.88,296.76,Asteroid,FEO,Main-belt
   283 Emma (A889 CA),283,3.05,0.1444,7.99,303.88,55.63,Asteroid,FEO,Main-belt
   284 Amalia (A889 KA),284,2.359,0.2214,8.05,233.67,58.03,Asteroid,FEO,Main-belt
   285 Regina (A889 PA),285,3.089,0.2041,17.61,311.23,14.49,Asteroid,FEO,Main-belt
   286 Iclea (A889 PB),286,3.192,0.024,17.94,148.93,210.09,Asteroid,FEO,Main-belt
   287 Nephthys (A889 QA),287,2.353,0.0226,10.04,142.32,120.37,Asteroid,FEO,Main-belt
   288 Glauke (A890 DA),288,2.761,0.2058,4.34,120.11,84.43,Asteroid,FEO,Main-belt
   289 Nenetta (A890 EA),289,2.876,0.2019,6.68,181.93,190.63,Asteroid,FEO,Main-belt
   290 Bruna (A890 FA),290,2.337,0.258,22.34,10.33,105.46,Asteroid,FEO,Main-belt
   291 Alice (A890 HA),291,2.222,0.0931,1.86,161.59,332.08,Asteroid,FEO,Main-belt
   292 Ludovica (A890 HB),292,2.53,0.0329,14.89,43.47,286.51,Asteroid,FEO,Main-belt
   293 Brasilia (A890 KA),293,2.867,0.1029,15.59,61.1,87.49,Asteroid,FEO,Main-belt
   294 Felicia (A890 NA),294,3.156,0.233,6.26,135.7,186.27,Asteroid,FEO,Main-belt
   295 Theresia (A890 QA),295,2.797,0.1674,2.7,275.88,148.34,Asteroid,FEO,Main-belt
   296 Phaetusa (A890 QB),296,2.229,0.1601,1.75,121.56,252.68,Asteroid,FEO,Main-belt
   297 Caecilia (A890 RA),297,3.167,0.1393,7.55,331.9,353.64,Asteroid,FEO,Main-belt
   298 Baptistina (A890 RB),298,2.263,0.0963,6.29,8.15,134.79,Asteroid,FEO,Main-belt
   299 Thora (A890 TA),299,2.434,0.0627,1.61,241.45,152,Asteroid,FEO,Main-belt
   301 Bavaria (A890 WA),301,2.726,0.0662,4.9,142.3,123.86,Asteroid,FEO,Main-belt
   302 Clarissa (A890 VA),302,2.406,0.1102,3.41,7.73,55.14,Asteroid,FEO,Main-belt
   303 Josephina (A891 CA),303,3.122,0.0565,6.89,343.65,67.41,Asteroid,FEO,Main-belt
   304 Olga (A891 CB),304,2.403,0.2216,15.85,159.01,172.55,Asteroid,FEO,Main-belt
   305 Gordonia (A891 DA),305,3.09,0.1963,4.45,207.46,260.6,Asteroid,FEO,Main-belt
   306 Unitas (A891 EA),306,2.358,0.1509,7.28,141.86,168.15,Asteroid,FEO,Main-belt
   307 Nike (A891 EB),307,2.907,0.1439,6.12,100.94,323.95,Asteroid,FEO,Main-belt
   308 Polyxo (A891 FA),308,2.75,0.0391,4.36,181.59,112.41,Asteroid,FEO,Main-belt
   309 Fraternitas (A891 GA),309,2.665,0.1137,3.71,356.5,311.23,Asteroid,FEO,Main-belt
   310 Margarita (A891 KA),310,2.76,0.1167,3.17,229.05,325,Asteroid,FEO,Main-belt
   311 Claudia (A891 LA),311,2.898,0.0056,3.22,80.97,79.36,Asteroid,FEO,Main-belt
   312 Pierretta (A891 QA),312,2.781,0.1604,9.04,6.2,262.18,Asteroid,FEO,Main-belt
   313 Chaldaea (A891 QB),313,2.374,0.1819,11.65,176.57,315.82,Asteroid,FEO,Main-belt
   314 Rosalia (A891 RA),314,3.16,0.1713,12.52,169.97,191.77,Asteroid,FEO,Main-belt
   315 Constantia (A891 RB),315,2.241,0.1687,2.43,161.63,172.83,Asteroid,FEO,Main-belt
   316 Goberta (A891 RC),316,3.181,0.1276,2.35,123.79,317.37,Asteroid,FEO,Main-belt
   317 Roxane (A891 RD),317,2.287,0.0855,1.77,151.35,187.24,Asteroid,FEO,Main-belt
   318 Magdalena (A891 SA),318,3.192,0.085,10.66,161.49,295.42,Asteroid,FEO,Main-belt
   320 Katharina (A891 TB),320,3.011,0.1163,9.39,219.76,148.47,Asteroid,FEO,Main-belt
   321 Florentina (A891 TC),321,2.884,0.0474,2.59,40.21,35.06,Asteroid,FEO,Main-belt
   322 Phaeo (A891 WB),322,2.784,0.2447,8.04,252.3,114.81,Asteroid,FEO,Main-belt
   323 Brucia (A891 YB),323,2.382,0.2997,24.26,97.29,291.59,Asteroid,FEO,Main-belt
   324 Bamberga (A892 DA),324,2.68,0.3413,11.1,327.85,44.14,Asteroid,FEO,Main-belt
   326 Tamara (A892 FD),326,2.318,0.1896,23.72,32.17,238.52,Asteroid,FEO,Main-belt
   327 Columbia (A892 FE),327,2.775,0.0609,7.14,354.75,308.2,Asteroid,FEO,Main-belt
   328 Gudrun (A892 FF),328,3.108,0.1073,16.13,351.89,107.26,Asteroid,FEO,Main-belt
   329 Svea (A892 FG),329,2.477,0.0253,15.88,178.45,57.95,Asteroid,FEO,Main-belt
   330 Adalberta (A910 CB),330,2.47,0.2519,6.76,137.1,259.09,Asteroid,FEO,Main-belt
   331 Etheridgea (A892 GA),331,3.027,0.0959,6.04,21.85,334.02,Asteroid,FEO,Main-belt
   332 Siri (A892 FH),332,2.772,0.0884,2.85,31.54,298.16,Asteroid,FEO,Main-belt
   333 Badenia (A892 QA),333,3.132,0.16,3.74,353.15,23.06,Asteroid,FEO,Main-belt
   335 Roberta (A892 RB),335,2.476,0.1723,5.1,148.42,139.82,Asteroid,FEO,Main-belt
   336 Lacadiera (A892 SA),336,2.252,0.0953,5.65,234.99,30.95,Asteroid,FEO,Main-belt
   337 Devosa (A892 SB),337,2.384,0.1364,7.86,355.34,99.46,Asteroid,FEO,Main-belt
   338 Budrosa (A892 SF),338,2.911,0.0182,6.04,287.31,109.21,Asteroid,FEO,Main-belt
   339 Dorothea (A892 SC),339,3.012,0.0992,9.97,173.49,164.68,Asteroid,FEO,Main-belt
   340 Eduarda (A892 SD),340,2.746,0.1171,4.67,26.95,43.09,Asteroid,FEO,Main-belt
   341 California (A892 SE),341,2.2,0.1943,5.67,29.01,293.92,Asteroid,FEO,Main-belt
   342 Endymion (A892 UA),342,2.567,0.1302,7.35,232.65,224.89,Asteroid,FEO,Main-belt
   343 Ostara (A892 VA),343,2.411,0.2299,3.26,38.58,10.24,Asteroid,FEO,Main-belt
   344 Desiderata (A892 WA),344,2.595,0.314,18.35,48,237.49,Asteroid,FEO,Main-belt
   345 Tercidina (A892 WB),345,2.325,0.062,9.75,212.59,230.97,Asteroid,FEO,Main-belt
   346 Hermentaria (A892 WC),346,2.797,0.1032,8.75,91.91,291.59,Asteroid,FEO,Main-belt
   347 Pariana (A892 WD),347,2.616,0.1641,11.67,85.33,86.85,Asteroid,FEO,Main-belt
   348 May (A892 WE),348,2.969,0.0714,9.76,89.9,13.43,Asteroid,FEO,Main-belt
   349 Dembowska (A892 XB),349,2.923,0.0895,8.25,32.19,344.31,Asteroid,FEO,Main-belt
   350 Ornamenta (A892 XC),350,3.107,0.1602,24.9,90.08,337.77,Asteroid,FEO,Main-belt
   351 Yrsa (A892 YA),351,2.766,0.156,9.21,99.19,31.76,Asteroid,FEO,Main-belt
   352 Gisela (A893 AB),352,2.194,0.1494,3.38,247.22,144.44,Asteroid,FEO,Main-belt
   353 Ruperto-Carola (A893 BB),353,2.735,0.328,5.71,102.46,321.2,Asteroid,FEO,Main-belt
   354 Eleonora (A893 BC),354,2.801,0.1115,18.36,140.25,7.52,Asteroid,FEO,Main-belt
   355 Gabriella (A893 BD),355,2.538,0.106,4.29,351.65,107.19,Asteroid,FEO,Main-belt
   356 Liguria (A893 BE),356,2.755,0.2414,8.2,354.5,79.35,Asteroid,FEO,Main-belt
   357 Ninina (A893 CB),357,3.151,0.0776,15.05,137.63,255.69,Asteroid,FEO,Main-belt
   358 Apollonia (A893 EC),358,2.878,0.153,3.56,172.14,252.37,Asteroid,FEO,Main-belt
   359 Georgia (A893 ED),359,2.728,0.1567,6.77,6,337.92,Asteroid,FEO,Main-belt
   360 Carlova (A893 EE),360,3.005,0.1737,11.74,132.2,289.97,Asteroid,FEO,Main-belt
   362 Havnia (A893 EG),362,2.578,0.0447,8.06,27.31,31.39,Asteroid,FEO,Main-belt
   363 Padua (A893 FD),363,2.748,0.0725,5.95,64.71,296.05,Asteroid,FEO,Main-belt
   364 Isara (A893 FE),364,2.221,0.149,6,105.51,313.15,Asteroid,FEO,Main-belt
   365 Corduba (A893 FF),365,2.802,0.1562,12.8,185.14,215.45,Asteroid,FEO,Main-belt
   366 Vincentina (A893 FG),366,3.143,0.0565,10.58,346.69,333.97,Asteroid,FEO,Main-belt
   367 Amicitia (A893 KB),367,2.219,0.0963,2.94,83.44,55.42,Asteroid,FEO,Main-belt
   368 Haidea (A893 KC),368,3.072,0.2013,7.8,226.3,95.53,Asteroid,FEO,Main-belt
   369 Aeria (A893 NA),369,2.648,0.0972,12.72,94.14,269.99,Asteroid,FEO,Main-belt
   370 Modestia (A893 NB),370,2.325,0.0907,7.86,290.9,68.39,Asteroid,FEO,Main-belt
   371 Bohemia (A893 OA),371,2.727,0.0633,7.4,283.38,342.12,Asteroid,FEO,Main-belt
   372 Palma (A893 QB),372,3.161,0.2529,23.79,327.24,115.19,Asteroid,FEO,Main-belt
   373 Melusina (A893 RA),373,3.122,0.1378,15.38,3.63,349.06,Asteroid,FEO,Main-belt
   374 Burgundia (A893 SA),374,2.78,0.079,8.99,218.98,26.13,Asteroid,FEO,Main-belt
   375 Ursula (A893 SB),375,3.126,0.1031,15.94,336.41,341.57,Asteroid,FEO,Main-belt
   376 Geometria (A893 SC),376,2.288,0.1728,5.43,301.96,316.66,Asteroid,FEO,Main-belt
   377 Campania (A893 SD),377,2.691,0.0754,6.68,209.93,196.35,Asteroid,FEO,Main-belt
   378 Holmia (A893 XA),378,2.777,0.1307,7.01,232.35,156.8,Asteroid,FEO,Main-belt
   379 Huenna (A894 AA),379,3.143,0.1798,1.67,171.86,180.84,Asteroid,FEO,Main-belt
   380 Fiducia (A894 AB),380,2.678,0.1128,6.16,95.02,240.21,Asteroid,FEO,Main-belt
   382 Dodona (A894 BB),382,3.121,0.1706,7.39,313.47,270.43,Asteroid,FEO,Main-belt
   383 Janina (A894 BC),383,3.14,0.1684,2.66,92.77,324.61,Asteroid,FEO,Main-belt
   384 Burdigala (A894 CA),384,2.652,0.1454,5.59,47.67,34.9,Asteroid,FEO,Main-belt
   385 Ilmatar (A894 EA),385,2.846,0.1262,13.58,344.85,189.17,Asteroid,FEO,Main-belt
   386 Siegena (A894 EB),386,2.899,0.1692,20.22,166.64,220.86,Asteroid,FEO,Main-belt
   387 Aquitania (A894 EC),387,2.741,0.2352,18.11,128.21,157.54,Asteroid,FEO,Main-belt
   388 Charybdis (A894 ED),388,3.003,0.0657,6.45,354.19,329.43,Asteroid,FEO,Main-belt
   389 Industria (A894 EE),389,2.611,0.0657,8.11,282.14,266.31,Asteroid,FEO,Main-belt
   390 Alma (A894 FA),390,2.651,0.1313,12.14,305.11,192.06,Asteroid,FEO,Main-belt
   392 Wilhelmina (A894 VD),392,2.884,0.1389,14.32,209.65,173.56,Asteroid,FEO,Main-belt
   393 Lampetia (A894 VC),393,2.78,0.33,14.88,212.39,90.86,Asteroid,FEO,Main-belt
   394 Arduina (A894 WB),394,2.764,0.2281,6.22,66.86,271.28,Asteroid,FEO,Main-belt
   395 Delia (A894 WC),395,2.784,0.0842,3.35,259.25,11.28,Asteroid,FEO,Main-belt
   396 Aeolia (A894 XA),396,2.742,0.1596,2.55,249.88,21.37,Asteroid,FEO,Main-belt
   397 Vienna (A894 YA),397,2.634,0.2482,12.87,227.88,139.95,Asteroid,FEO,Main-belt
   398 Admete (A894 YB),398,2.738,0.2239,9.55,279.8,160.57,Asteroid,FEO,Main-belt
   399 Persephone (A895 DD),399,3.052,0.0765,13.11,346.2,192.65,Asteroid,FEO,Main-belt
   400 Ducrosa (A895 EC),400,3.129,0.1157,10.52,327.02,237.16,Asteroid,FEO,Main-belt
   402 Chloe (A895 FB),402,2.558,0.1123,11.83,129.33,17.16,Asteroid,FEO,Main-belt
   403 Cyane (A895 KA),403,2.809,0.0982,9.16,244.34,254.27,Asteroid,FEO,Main-belt
   404 Arsinoe (A895 MA),404,2.592,0.2011,14.1,92.47,120.65,Asteroid,FEO,Main-belt
   405 Thia (A895 OB),405,2.585,0.2434,11.94,255.2,308.65,Asteroid,FEO,Main-belt
   406 Erna (A895 QA),406,2.919,0.1782,4.19,315.47,37.76,Asteroid,FEO,Main-belt
   407 Arachne (A895 TB),407,2.626,0.071,7.52,294.54,81.86,Asteroid,FEO,Main-belt
   408 Fama (A917 RB),408,3.165,0.146,9.09,297.1,108.63,Asteroid,FEO,Main-belt
   409 Aspasia (A895 XC),409,2.577,0.0719,11.27,242.1,354.2,Asteroid,FEO,Main-belt
   410 Chloris (A896 AC),410,2.725,0.2411,10.96,96.92,172.78,Asteroid,FEO,Main-belt
   411 Xanthe (A896 AD),411,2.936,0.1148,15.35,107.37,181.35,Asteroid,FEO,Main-belt
   412 Elisabetha (A896 AB),412,2.765,0.0413,13.76,106.4,93.09,Asteroid,FEO,Main-belt
   413 Edburga (A896 AA),413,2.585,0.3418,18.73,103.68,252.96,Asteroid,FEO,Main-belt
   415 Palatia (A896 CA),415,2.792,0.3003,8.22,126.32,299.1,Asteroid,FEO,Main-belt
   416 Vaticana (A896 JA),416,2.792,0.2175,12.86,58.06,198.37,Asteroid,FEO,Main-belt
   417 Suevia (A896 JB),417,2.799,0.1354,6.65,199.49,348.46,Asteroid,FEO,Main-belt
   418 Alemannia (A896 RD),418,2.592,0.1189,6.82,248.73,125.91,Asteroid,FEO,Main-belt
   419 Aurelia (A896 RF),419,2.595,0.2519,3.93,229.03,44.45,Asteroid,FEO,Main-belt
   421 Zahringia (A896 RE),421,2.541,0.2829,7.79,187.35,208.98,Asteroid,FEO,Main-belt
   422 Berolina (A896 TA),422,2.229,0.2147,5,9.04,335.44,Asteroid,FEO,Main-belt
   423 Diotima (A896 XA),423,3.069,0.0348,11.24,69.35,199.55,Asteroid,FEO,Main-belt
   424 Gratia (A896 YD),424,2.774,0.1092,8.22,99.13,333.86,Asteroid,FEO,Main-belt
   425 Cornelia (A896 YC),425,2.892,0.0573,4.05,60.96,123.69,Asteroid,FEO,Main-belt
   426 Hippo (A897 RA),426,2.889,0.106,19.5,311.32,221.64,Asteroid,FEO,Main-belt
   427 Galene (A897 RB),427,2.972,0.1193,5.13,297.37,11.26,Asteroid,FEO,Main-belt
   428 Monachia (A897 WA),428,2.307,0.1784,6.19,17.54,15.94,Asteroid,FEO,Main-belt
   429 Lotis (A897 WB),429,2.606,0.1239,9.54,219.92,169.24,Asteroid,FEO,Main-belt
   430 Hybris (A897 YA),430,2.85,0.2504,14.54,249.2,179.34,Asteroid,FEO,Main-belt
   431 Nephele (A897 YB),431,3.138,0.1706,1.83,117.18,217.37,Asteroid,FEO,Main-belt
   432 Pythia (A897 YC),432,2.369,0.1459,12.12,88.73,173.8,Asteroid,FEO,Main-belt
   435 Ella (A898 RA),435,2.45,0.1549,1.82,23.14,333.37,Asteroid,FEO,Main-belt
   436 Patricia (A898 RC),436,3.199,0.0699,18.51,351.3,41.27,Asteroid,FEO,Main-belt
   437 Rhodia (A898 OA),437,2.386,0.2484,7.34,263.18,62.01,Asteroid,FEO,Main-belt
   438 Zeuxo (A898 VG),438,2.555,0.0679,7.37,49.09,210.25,Asteroid,FEO,Main-belt
   439 Ohio (A898 TA),439,3.134,0.0667,19.13,201.44,244.62,Asteroid,FEO,Main-belt
   440 Theodora (A898 TB),440,2.21,0.108,1.6,292.04,179.18,Asteroid,FEO,Main-belt
   441 Bathilde (A898 XA),441,2.806,0.0815,8.16,253.5,202.86,Asteroid,FEO,Main-belt
   442 Eichsfeldia (A899 CA),442,2.346,0.0701,6.07,134.88,84.96,Asteroid,FEO,Main-belt
   443 Photographica (A899 DA),443,2.216,0.0398,4.24,175.4,349.11,Asteroid,FEO,Main-belt
   444 Gyptis (A899 FA),444,2.771,0.1741,10.27,195.6,154.69,Asteroid,FEO,Main-belt
   445 Edna (A899 TC),445,3.197,0.1978,21.31,291.98,81.78,Asteroid,FEO,Main-belt
   446 Aeternitas (A899 UB),446,2.788,0.1252,10.62,42.02,279.15,Asteroid,FEO,Main-belt
   447 Valentine (A899 UD),447,2.987,0.0456,4.79,71.79,320.35,Asteroid,FEO,Main-belt
   448 Natalie (A899 UC),448,3.132,0.1877,12.73,37.18,293.34,Asteroid,FEO,Main-belt
   449 Hamburga (A899 UE),449,2.55,0.173,3.08,85.77,48.73,Asteroid,FEO,Main-belt
   450 Brigitta (A899 VB),450,3.018,0.0978,10.13,14.35,359.28,Asteroid,FEO,Main-belt
   451 Patientia (A899 XA),451,3.063,0.0703,15.21,89,336.55,Asteroid,FEO,Main-belt
   452 Hamiltonia (A899 XB),452,2.845,0.014,3.22,92.46,59.41,Asteroid,FEO,Main-belt
   453 Tea (A900 DD),453,2.183,0.1093,5.55,11.67,220.3,Asteroid,FEO,Main-belt
   454 Mathesis (A900 FB),454,2.627,0.1115,6.29,32.17,177.29,Asteroid,FEO,Main-belt
   455 Bruchsalia (A900 KC),455,2.655,0.2952,12.02,76.07,273.44,Asteroid,FEO,Main-belt
   456 Abnoba (A900 LA),456,2.79,0.1806,14.48,229,7.55,Asteroid,FEO,Main-belt
   457 Alleghenia (A900 RA),457,3.097,0.1712,12.97,249.4,130.93,Asteroid,FEO,Main-belt
   458 Hercynia (A900 SD),458,2.993,0.2429,12.65,134.12,277.18,Asteroid,FEO,Main-belt
   459 Signe (A900 UH),459,2.619,0.2115,10.3,29.47,19.49,Asteroid,FEO,Main-belt
   460 Scania (A900 UF),460,2.718,0.1043,4.64,205.07,161.69,Asteroid,FEO,Main-belt
   461 Saskia (A900 UG),461,3.117,0.1453,1.47,156.52,308.61,Asteroid,FEO,Main-belt
   462 Eriphyla (A900 UJ),462,2.872,0.0878,3.19,105.21,249.42,Asteroid,FEO,Main-belt
   463 Lola (A900 UK),463,2.398,0.2201,13.54,36.49,329.65,Asteroid,FEO,Main-belt
   464 Megaira (A901 AB),464,2.802,0.2047,10.16,102.34,257.92,Asteroid,FEO,Main-belt
   465 Alekto (A901 AC),465,3.094,0.2051,4.65,300.56,284.22,Asteroid,FEO,Main-belt
   467 Laura (A901 AA),467,2.946,0.1066,6.45,322.12,94.21,Asteroid,FEO,Main-belt
   468 Lina (A901 BC),468,3.133,0.196,0.44,21.5,332.26,Asteroid,FEO,Main-belt
   469 Argentina (A901 DC),469,3.191,0.1598,11.47,333.07,213.8,Asteroid,FEO,Main-belt
   470 Kilia (A901 HC),470,2.404,0.0957,7.23,173.2,47.72,Asteroid,FEO,Main-belt
   471 Papagena (A901 LA),471,2.89,0.2289,15.01,83.78,315.7,Asteroid,FEO,Main-belt
   472 Roma (A901 NA),472,2.543,0.0954,15.81,127.05,296.49,Asteroid,FEO,Main-belt
   473 Nolli (A901 CB),473,2.662,0.1078,12.94,332.08,153.66,Asteroid,FEO,Main-belt
   474 Prudentia (A901 CC),474,2.452,0.2108,8.8,161.8,155.96,Asteroid,FEO,Main-belt
   476 Hedwig (A901 QB),476,2.651,0.0742,10.92,286.22,1.29,Asteroid,FEO,Main-belt
   477 Italia (A901 QC),477,2.415,0.188,5.29,10.64,322.49,Asteroid,FEO,Main-belt
   478 Tergeste (A901 SC),478,3.017,0.0804,13.18,233.44,243.33,Asteroid,FEO,Main-belt
   479 Caprera (A901 VK),479,2.721,0.2183,8.68,136,269.29,Asteroid,FEO,Main-belt
   480 Hansa (A901 KB),480,2.645,0.0458,21.31,237.13,212.34,Asteroid,FEO,Main-belt
   481 Emita (A902 CB),481,2.74,0.1581,9.85,66.71,349.22,Asteroid,FEO,Main-belt
   482 Petrina (A902 EH),482,2.998,0.0965,14.47,179.37,87.84,Asteroid,FEO,Main-belt
   484 Pittsburghia (A902 HA),484,2.667,0.0575,12.51,127.25,189.58,Asteroid,FEO,Main-belt
   485 Genua (A902 JC),485,2.752,0.1906,13.87,193.39,271.9,Asteroid,FEO,Main-belt
   486 Cremona (A902 JD),486,2.353,0.1627,11.09,94.08,125.14,Asteroid,FEO,Main-belt
   487 Venetia (A902 NC),487,2.671,0.0862,10.25,114.77,281.39,Asteroid,FEO,Main-belt
   488 Kreusa (A902 MC),488,3.173,0.1582,11.46,83.03,76.34,Asteroid,FEO,Main-belt
   489 Comacina (A902 RD),489,3.152,0.0482,12.99,166.7,8.7,Asteroid,FEO,Main-belt
   490 Veritas (A902 RE),490,3.172,0.0895,9.29,178.04,193.41,Asteroid,FEO,Main-belt
   491 Carina (A902 RG),491,3.195,0.0848,18.87,175.34,230.4,Asteroid,FEO,Main-belt
   492 Gismonda (A902 RF),492,3.111,0.1792,1.62,46.18,296.93,Asteroid,FEO,Main-belt
   493 Griseldis (A902 RH),493,3.114,0.177,15.18,357.34,46.88,Asteroid,FEO,Main-belt
   494 Virtus (A902 TF),494,2.985,0.0644,7.08,38.07,215.39,Asteroid,FEO,Main-belt
   495 Eulalia (A902 UL),495,2.487,0.1293,2.28,186.4,207.94,Asteroid,FEO,Main-belt
   496 Gryphia (A902 UM),496,2.2,0.0791,3.79,207.56,258.34,Asteroid,FEO,Main-belt
   497 Iva (A902 VB),497,2.851,0.3016,4.82,6.31,3.43,Asteroid,FEO,Main-belt
   498 Tokio (A902 XA),498,2.651,0.2235,9.5,97.19,241.94,Asteroid,FEO,Main-belt
   500 Selinur (A903 BJ),500,2.613,0.1441,9.78,289.8,75.07,Asteroid,FEO,Main-belt
   501 Urhixidur (A903 BK),501,3.162,0.1417,20.84,357.23,356.45,Asteroid,FEO,Main-belt
   502 Sigune (A903 BM),502,2.383,0.1791,25.03,132.96,18.97,Asteroid,FEO,Main-belt
   503 Evelyn (A903 BL),503,2.726,0.1746,5.01,68.83,41.42,Asteroid,FEO,Main-belt
   504 Cora (A902 NB),504,2.722,0.2154,12.9,104.45,248.47,Asteroid,FEO,Main-belt
   505 Cava (A902 QA),505,2.686,0.2426,9.82,90.77,336.99,Asteroid,FEO,Main-belt
   506 Marion (A903 DB),506,3.043,0.1462,16.99,312.93,145.3,Asteroid,FEO,Main-belt
   507 Laodica (A903 DC),507,3.152,0.1018,9.5,293.4,100.59,Asteroid,FEO,Main-belt
   508 Princetonia (A903 HC),508,3.161,0.0076,13.34,44.19,209.74,Asteroid,FEO,Main-belt
   509 Iolanda (A903 HD),509,3.063,0.0969,15.41,217.51,157.27,Asteroid,FEO,Main-belt
   510 Mabella (A903 KA),510,2.61,0.1915,9.54,202.67,90.92,Asteroid,FEO,Main-belt
   511 Davida (A903 KB),511,3.161,0.1888,15.94,107.58,337.11,Asteroid,FEO,Main-belt
   513 Centesima (A916 BC),513,3.012,0.0852,9.74,184.43,225.86,Asteroid,FEO,Main-belt
   514 Armida (A903 QC),514,3.047,0.0373,3.88,268.52,111.56,Asteroid,FEO,Main-belt
   515 Athalia (A903 SH),515,3.121,0.1767,2.04,121.09,300.26,Asteroid,FEO,Main-belt
   516 Amherstia (A903 SG),516,2.678,0.2748,12.95,328.74,258.06,Asteroid,FEO,Main-belt
   517 Edith (A903 SK),517,3.156,0.1797,3.23,273.8,143.67,Asteroid,FEO,Main-belt
   518 Halawe (A915 TP),518,2.533,0.2278,6.73,203.9,117.47,Asteroid,FEO,Main-belt
   519 Sylvania (A903 UJ),519,2.792,0.1831,11.01,44.68,302.86,Asteroid,FEO,Main-belt
   520 Franziska (A903 UK),520,3.007,0.1106,10.96,34.25,20.46,Asteroid,FEO,Main-belt
   521 Brixia (A904 AE),521,2.744,0.2785,10.58,89.6,316.11,Asteroid,FEO,Main-belt
   523 Ada (A904 BA),523,2.966,0.1793,4.31,260.59,189.89,Asteroid,FEO,Main-belt
   524 Fidelio (A904 ED),524,2.635,0.127,8.22,326.66,79.18,Asteroid,FEO,Main-belt
   525 Adelaide (A908 UJ),525,2.246,0.102,6,203.36,263.96,Asteroid,FEO,Main-belt
   526 Jena (A904 EE),526,3.135,0.1283,2.17,137.73,357.43,Asteroid,FEO,Main-belt
   527 Euryanthe (A904 FC),527,2.727,0.1517,9.66,120.46,204.01,Asteroid,FEO,Main-belt
   529 Preziosa (A904 FB),529,3.016,0.0933,11.02,64.99,332.02,Asteroid,FEO,Main-belt
   530 Turandot (A904 GB),530,3.189,0.2178,8.56,129.11,199.55,Asteroid,FEO,Main-belt
   531 Zerlina (A904 GC),531,2.783,0.1988,34.03,197.67,57.71,Asteroid,FEO,Main-belt
   532 Herculina (A904 HE),532,2.769,0.1795,16.3,107.42,76.73,Asteroid,FEO,Main-belt
   533 Sara (A904 HC),533,2.98,0.0442,6.56,180.3,32.14,Asteroid,FEO,Main-belt
   534 Nassovia (A904 HD),534,2.882,0.0596,3.28,94.08,338.28,Asteroid,FEO,Main-belt
   535 Montague (A904 JE),535,2.57,0.0257,6.77,84.76,68.04,Asteroid,FEO,Main-belt
   537 Pauly (A904 NB),537,3.073,0.2292,9.87,120.16,187.67,Asteroid,FEO,Main-belt
   538 Friederike (A904 OA),538,3.157,0.1712,6.52,141.16,227.5,Asteroid,FEO,Main-belt
   539 Pamina (A904 PD),539,2.738,0.2142,6.8,274.22,97.27,Asteroid,FEO,Main-belt
   540 Rosamunde (A904 PE),540,2.219,0.0904,5.58,202.11,337.46,Asteroid,FEO,Main-belt
   541 Deborah (A904 PF),541,2.817,0.0503,6,267.55,0.6,Asteroid,FEO,Main-belt
   542 Susanna (A904 QA),542,2.904,0.1424,12.08,152.95,216.93,Asteroid,FEO,Main-belt
   543 Charlotte (A904 RG),543,3.06,0.1517,8.46,294.83,108.35,Asteroid,FEO,Main-belt
   544 Jetta (A904 RH),544,2.592,0.1529,8.37,298.3,343.02,Asteroid,FEO,Main-belt
   545 Messalina (A904 TC),545,3.199,0.1698,11.21,333.59,331.31,Asteroid,FEO,Main-belt
   546 Herodias (A904 TD),546,2.597,0.1155,14.87,21.59,110.26,Asteroid,FEO,Main-belt
   547 Praxedis (A904 TE),547,2.774,0.2357,16.86,193.06,196.57,Asteroid,FEO,Main-belt
   548 Kressida (A904 TF),548,2.283,0.1842,3.87,108.4,320.32,Asteroid,FEO,Main-belt
   549 Jessonda (A904 WA),549,2.687,0.2569,3.95,291.33,157.7,Asteroid,FEO,Main-belt
